Time, Network Latency 
1.67495e+09,88.916527000
1.67495e+09,67.370743000
1.67495e+09,89.056175000
1.67495e+09,65.762815000
1.67495e+09,87.800565000
1.67495e+09,62.942989000
1.67495e+09,87.729268000
1.67495e+09,63.032588000
1.67495e+09,87.691797000
1.67495e+09,62.978892000
1.67495e+09,88.331729000
1.67495e+09,64.960035000
1.67495e+09,88.606353000
1.67495e+09,65.915039000
1.67495e+09,88.754928000
1.67495e+09,68.952559000
1.67495e+09,87.583093000
1.67495e+09,62.266544000
1.67495e+09,87.400214000
1.67495e+09,62.604623000
1.67495e+09,87.567222000
1.67495e+09,62.557807000
1.67495e+09,87.463766000
1.67495e+09,62.773133000
1.67495e+09,87.275223000
1.67495e+09,62.662670000
1.67495e+09,87.116536000
1.67495e+09,62.880973000
1.67495e+09,86.888793000
1.67495e+09,62.834669000
1.67495e+09,86.840760000
1.67495e+09,62.562190000
1.67495e+09,87.077272000
1.67495e+09,62.082768000
1.67495e+09,86.820793000
1.67495e+09,61.475892000
1.67495e+09,86.883129000
1.67495e+09,61.750706000
1.67495e+09,86.952409000
1.67495e+09,62.029009000
1.67495e+09,86.976248000
1.67495e+09,62.092560000
1.67495e+09,87.058263000
1.67495e+09,62.280592000
1.67495e+09,87.009080000
1.67495e+09,62.232240000
1.67495e+09,86.771641000
1.67495e+09,62.186288000
1.67495e+09,86.731673000
1.67495e+09,61.832145000
1.67495e+09,86.640058000
1.67495e+09,62.108176000
1.67495e+09,86.659706000
1.67495e+09,62.150896000
1.67495e+09,86.509083000
1.67495e+09,61.824594000
1.67495e+09,86.597658000
1.67495e+09,61.833426000
1.67495e+09,86.593434000
1.67495e+09,61.841009000
1.67495e+09,86.437083000
1.67495e+09,62.276527000
1.67495e+09,86.570554000
1.67495e+09,61.926993000
1.67495e+09,86.405339000
1.67495e+09,61.693554000
1.67495e+09,85.775742000
1.67495e+09,62.114672000
1.67495e+09,86.360091000
1.67495e+09,61.666770000
1.67495e+09,86.197788000
1.67495e+09,61.663730000
1.67495e+09,86.204444000
1.67495e+09,62.086288000
1.67495e+09,86.450395000
1.67495e+09,61.697234000
1.67495e+09,85.983453000
1.67495e+09,62.190960000
1.67495e+09,86.104156000
1.67495e+09,61.292692000
1.67495e+09,85.745533000
1.67495e+09,61.439923000
1.67495e+09,86.143100000
1.67495e+09,61.500851000
1.67495e+09,86.017948000
1.67495e+09,61.409300000
1.67495e+09,86.022012000
1.67495e+09,61.301716000
1.67495e+09,85.970876000
1.67495e+09,61.091285000
1.67495e+09,85.781949000
1.67495e+09,61.037142000
1.67495e+09,85.879837000
1.67495e+09,61.213044000
1.67495e+09,85.864093000
1.67495e+09,61.305684000
1.67495e+09,85.732030000
1.67495e+09,60.862102000
1.67495e+09,85.542238000
1.67495e+09,61.476563000
1.67495e+09,85.443711000
1.67495e+09,61.100245000
1.67495e+09,85.651518000
1.67495e+09,61.237460000
1.67495e+09,85.722462000
1.67495e+09,60.630295000
1.67495e+09,85.645854000
1.67495e+09,60.826134000
1.67495e+09,85.368415000
1.67495e+09,60.305433000
1.67495e+09,85.370943000
1.67495e+09,60.719767000
1.67495e+09,85.381055000
1.67495e+09,60.780599000
1.67495e+09,86.128283000
1.67495e+09,62.208911000
1.67495e+09,85.411967000
1.67495e+09,63.279211000
1.67495e+09,86.133947000
1.67495e+09,61.654067000
1.67495e+09,85.365983000
1.67495e+09,60.748375000
1.67495e+09,85.109345000
1.67495e+09,61.995600000
1.67495e+09,86.154843000
1.67495e+09,62.228399000
1.67495e+09,86.318874000
1.67495e+09,62.021424000
1.67495e+09,85.045472000
1.67495e+09,60.468312000
1.67495e+09,85.666077000
1.67495e+09,62.043184000
1.67495e+09,84.855874000
1.67495e+09,60.273177000
1.67495e+09,85.075200000
1.67495e+09,60.350745000
1.67495e+09,85.087457000
1.67495e+09,60.334136000
1.67495e+09,86.077403000
1.67495e+09,62.017136000
1.67495e+09,84.154245000
1.67495e+09,58.979615000
1.67495e+09,84.888801000
1.67495e+09,60.121914000
1.67495e+09,84.523075000
1.67495e+09,60.013626000
1.67495e+09,86.066396000
1.67495e+09,62.240527000
1.67495e+09,84.683075000
1.67495e+09,60.623000000
1.67495e+09,85.388191000
1.67495e+09,61.437747000
1.67495e+09,84.636130000
1.67495e+09,59.907290000
1.67495e+09,84.622210000
1.67495e+09,59.943258000
1.67495e+09,84.354724000
1.67495e+09,59.426012000
1.67495e+09,84.227972000
1.67495e+09,59.742011000
1.67495e+09,84.410883000
1.67495e+09,59.623292000
1.67495e+09,84.281028000
1.67495e+09,59.939098000
1.67495e+09,84.188293000
1.67495e+09,59.616700000
1.67495e+09,84.326980000
1.67495e+09,59.146174000
1.67495e+09,84.261508000
1.67495e+09,59.468029000
1.67495e+09,84.189956000
1.67495e+09,59.405181000
1.67495e+09,84.067429000
1.67495e+09,59.223006000
1.67495e+09,83.391176000
1.67495e+09,59.007134000
1.67495e+09,84.174596000
1.67495e+09,59.373661000
1.67495e+09,83.983621000
1.67495e+09,59.340445000
1.67495e+09,83.809254000
1.67495e+09,59.173086000
1.67495e+09,82.974634000
1.67495e+09,59.268541000
1.67495e+09,83.760871000
1.67495e+09,58.839712000
1.67495e+09,84.196996000
1.67495e+09,61.390068000
1.67495e+09,84.235012000
1.67495e+09,60.631191000
1.67495e+09,83.256457000
1.67495e+09,59.090174000
1.67495e+09,83.756711000
1.67495e+09,58.776800000
1.67495e+09,83.640423000
1.67495e+09,58.802815000
1.67495e+09,83.569831000
1.67495e+09,59.030622000
1.67495e+09,83.381832000
1.67495e+09,58.736576000
1.67495e+09,83.106921000
1.67495e+09,58.838112000
1.67495e+09,83.571367000
1.67495e+09,59.021023000
1.67495e+09,83.131113000
1.67495e+09,58.321122000
1.67495e+09,83.221225000
1.67495e+09,58.459873000
1.67495e+09,83.150025000
1.67495e+09,58.476545000
1.67495e+09,83.205321000
1.67495e+09,58.291106000
1.67495e+09,83.039850000
1.67495e+09,58.108131000
1.67495e+09,83.036298000
1.67495e+09,58.406530000
1.67495e+09,82.969162000
1.67495e+09,58.394626000
1.67495e+09,83.071849000
1.67495e+09,58.341666000
1.67495e+09,82.938570000
1.67495e+09,58.169186000
1.67495e+09,82.801323000
1.67495e+09,57.975684000
1.67495e+09,81.649745000
1.67495e+09,57.890979000
1.67495e+09,82.749996000
1.67495e+09,57.972964000
1.67495e+09,82.396589000
1.67495e+09,57.825541000
1.67495e+09,82.627979000
1.67495e+09,57.963075000
1.67495e+09,82.862026000
1.67495e+09,58.146722000
1.67495e+09,82.398061000
1.67495e+09,57.524997000
1.67495e+09,82.965513000
1.67495e+09,58.238370000
1.67495e+09,83.309768000
1.67495e+09,58.811999000
1.67495e+09,83.290152000
1.67495e+09,58.584769000
1.67495e+09,82.411468000
1.67495e+09,58.557696000
1.67495e+09,83.159464000
1.67495e+09,58.345729000
1.67495e+09,82.334317000
1.67495e+09,56.621450000
1.67495e+09,83.176168000
1.67495e+09,58.311874000
1.67495e+09,83.089577000
1.67495e+09,57.656357000
1.67495e+09,83.041321000
1.67495e+09,58.213730000
1.67495e+09,82.210285000
1.67495e+09,57.628229000
1.67495e+09,82.894698000
1.67495e+09,57.978243000
1.67495e+09,82.957737000
1.67495e+09,57.741124000
